,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1. CVC investment,1.00,,,,,,,,,,,,,,,,,,,,
2. Spinout,0.00,1.00,,,,,,,,,,,,,,,,,,,
"3. Spinout with high
TOSP",-0.01,0.58,1.00,,,,,,,,,,,,,,,,,,
4. Spinout with low TOSP,0.01,0.66,-0.22,1.00,,,,,,,,,,,,,,,,,
"5. Venture patent count
( In )",0.02,-0.03,-0.01,-0.03,1.00,,,,,,,,,,,,,,,,
6. Venture age,0.01,-0.09,-0.06,-0.06,0.13,1.00,,,,,,,,,,,,,,,
7. Founder PhD or MD,0.00,-0.33,-0.24,-0.17,0.03,0.06,1.00,,,,,,,,,,,,,,
8. Number of founders,0.00,-0.03,0.07,-0.10,0.04,0.00,0.01,1.00,,,,,,,,,,,,,
"9. Manufacturing resource
need",0.00,0.09,0.14,-0.02,0.01,-0.07,-0.04,-0.06,1.00,,,,,,,,,,,,
"10. Marketing resource
need",0.01,-0.08,-0.12,0.02,0.00,0.05,0.07,0.02,-0.64,1.00,,,,,,,,,,,
"11. Corporate investor
patent count ( In )",0.01,0.01,0.00,0.00,0.01,-0.05,0.00,-0.01,-0.02,0.01,1.00,,,,,,,,,,
"12. Corporate investor new
product ( In )",0.03,0.00,0.00,0.00,-0.01,-0.03,0.01,0.00,0.03,-0.01,0.21,1.00,,,,,,,,,
"13. Corporate investor R & D
intensity",0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,-0.03,0.14,1.00,,,,,,,,
"14. Corporate investor
patent infringement",0.01,-0.03,-0.02,-0.02,-0.01,0.19,0.00,0.01,-0.05,0.01,0.37,0.24,-0.03,1.00,,,,,,,
"15. Corporate investor size
( In )",0.00,-0.03,-0.02,-0.02,0.00,0.19,-0.01,0.01,-0.07,0.01,0.47,0.03,-0.12,0.47,1.00,,,,,,
"16. Corporate investor cash
( ln )",0.01,-0.03,-0.02,-0.02,0.00,0.22,-0.01,0.01,-0.09,0.02,0.39,0.01,-0.03,0.43,0.83,1.00,,,,,
"17. Corporate investor
financial orientation",-0.01,0.02,0.01,0.01,0.00,-0.16,0.01,-0.01,0.05,-0.02,-0.15,-0.04,0.03,-0.23,-0.15,-0.13,1.00,,,,
"18. Corporate investor
strategic orientation",0.03,-0.01,-0.01,0.00,0.00,0.03,0.00,0.00,-0.02,-0.01,0.04,0.27,0.20,-0.02,-0.14,-0.09,-0.07,1.00,,,
"19. Technological overlap
between venture and
corporate investor",0.04,-0.01,0.03,-0.04,0.14,-0.01,0.01,0.00,0.05,-0.05,-0.01,0.38,0.07,0.02,-0.18,-0.16,-0.03,0.23,1.00,,
"20. Cross - citations between
venture and
corporate investor",0.03,0.00,0.00,0.00,0.05,0.02,0.00,0.00,0.01,-0.01,0.07,0.19,0.03,0.05,0.02,0.01,-0.02,0.17,0.27,1.00,
"21. Geographic distance
between venture and
corporate investor ( In )",0.00,-0.10,-0.05,-0.07,0.07,-0.01,0.06,0.01,0.00,0.03,-0.07,0.04,0.00,-0.04,0.02,-0.01,0.03,-0.02,0.02,0.00,1.00
Mean,0.00,0.37,0.16,0.20,1.64,5.26,0.42,1.40,0.46,0.01,6.52,2.77,0.09,10.25,10.22,7.57,0.45,0.01,0.09,0.00,7.48
Standard deviation,0.04,0.48,0.37,0.40,0.97,3.71,0.49,0.62,0.08,0.01,1.71,2.20,0.08,10.49,1.33,1.47,0.19,0.03,0.18,0.02,1.31
Min .,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.11,0.00,0.00,0.00,0.00,0.00,5.34,0.00,0.00,0.00,0.00,0.00,0.00
Max .,1.00,1.00,1.00,1.00,4.96,20.00,1.00,5.00,0.59,0.06,9.20,6.30,0.84,93.00,13.59,11.41,1.00,0.20,1.00,0.60,9.76
