,1,2,3,4,5,6,7,8,9,10,11,12,13
1. CVC investment,1.00,,,,,,,,,,,,
2. TOSP,-0.02,1.00,,,,,,,,,,,
3. Parent firm litigiousness,0.00,-0.05,1.00,,,,,,,,,,
4. TOIP,0.03,0.03,0.14,1.00,,,,,,,,,
5. Parent firm new product ( ln ),0.00,0.22,0.11,0.14,1.00,,,,,,,,
6. Spinout patent count ( In ),0.03,0.07,0.03,0.00,0.06,1.00,,,,,,,
7. Spinout age,0.01,0.01,0.09,-0.02,-0.15,0.20,1.00,,,,,,
8. Founder PhD or MD,0.01,-0.02,0.00,-0.03,0.01,0.03,-0.02,1.00,,,,,
9. Time since left parent firm,0.00,0.01,0.02,0.04,0.09,-0.06,-0.08,0.02,1.00,,,,
10. Number of founders,0.00,0.12,-0.03,0.03,0.15,0.05,-0.04,-0.08,0.00,1.00,,,
"11. Collaborative relationship between spinout and
parent firm",0.00,-0.03,0.06,0.03,0.09,0.02,0.06,-0.01,-0.08,-0.04,1.00,,
12. Manufacturing resource need,-0.02,0.18,0.06,0.03,0.19,-0.09,-0.12,-0.09,0.03,-0.04,0.02,1.00,
13. Marketing resource need,0.02,-0.13,-0.08,-0.05,-0.18,0.10,0.05,0.14,0.00,0.01,-0.04,-0.63,1.00
14. Corporate investor patent count ( In ),0.01,0.00,0.00,-0.02,0.00,0.01,-0.04,0.00,-0.01,0.00,0.00,-0.02,0.01
15. Corporate investor new product ( In ),0.03,0.00,-0.01,0.40,-0.01,-0.01,-0.04,0.00,-0.01,-0.01,-0.01,0.02,0.00
16. Corporate investor R & D intensity,0.01,0.00,-0.01,0.14,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
17. Corporate investor patent infringement,0.01,-0.01,0.02,-0.01,-0.02,0.01,0.21,-0.02,0.03,0.02,-0.01,-0.03,-0.01
18. Corporate investor size ( ln ),0.01,-0.01,0.03,-0.19,-0.01,0.02,0.20,-0.02,0.03,0.03,0.00,-0.05,-0.01
19. Corporate investor cash ( ln ),0.01,-0.01,0.04,-0.17,-0.01,0.03,0.24,-0.02,0.04,0.03,0.00,-0.07,0.00
20. Corporate investor financial orientation,-0.01,0.01,-0.03,0.01,0.01,-0.02,-0.17,0.01,-0.03,-0.02,0.01,0.03,0.00
21. Corporate investor strategic orientation,0.03,-0.01,0.01,0.20,-0.02,0.00,0.03,0.00,0.00,0.00,0.00,-0.02,-0.01
"22. Technological overlap between spinout and
corporate investor",0.04,0.09,0.03,0.43,0.04,0.19,0.02,0.00,0.00,0.02,-0.01,0.02,-0.01
"23. Cross - citations between spinout and corporate
investor",0.03,-0.01,0.01,0.15,0.00,0.05,0.04,-0.01,0.00,0.02,0.00,0.00,-0.01
"24. Geographic distance between spinout and
corporate investor ( ln )",0.00,0.00,0.01,-0.01,0.02,0.02,0.01,0.06,0.01,0.02,0.01,-0.03,0.05
25. Parent firm patent count ( ln ),0.01,0.12,0.26,0.21,0.68,0.09,-0.07,0.00,0.07,0.14,0.12,0.09,-0.14
"26. Alliance between parent firm and corporate
investor",-0.01,-0.02,0.05,0.14,0.12,0.01,0.01,0.04,0.03,0.01,0.02,0.00,-0.01
Mean,0.00,0.00,0.00,0.00,0.00,1.60,4.81,0.20,2.26,1.38,0.03,0.47,0.01
Standard deviation .,0.04,0.23,12.05,0.24,1.85,1.05,3.58,0.40,3.13,0.59,0.17,0.08,0.01
Min .,0.00,-0.26,-6.14,-0.16,-4.05,0.00,0.00,0.00,0.00,1.00,0.00,0.11,0.00
Max .,1.00,0.73,72.86,0.84,2.62,4.80,17.00,1.00,10.00,4.00,1.00,0.59,0.06
