Variables,Mean,SD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"1. Investor reaction to
restatement",-2.04,13.19,,,,,,,,,,,,,,,,,
2. Year,2006,4.02,0.08,,,,,,,,,,,,,,,,
3. Inverse Mills ratio,2.08,0.16,-0.01,0.00,,,,,,,,,,,,,,,
4. After SOX Act,0.87,0.34,0.04,0.55,-0.39,,,,,,,,,,,,,,
5. Firm age,11.22,9.43,0.02,0.20,-0.02,0.17,,,,,,,,,,,,,
6. Fortune's Most Admired,0.00,0.05,0.00,0.03,0.24,0.02,0.15,,,,,,,,,,,,
7. KLD missing,0.54,0.50,-0.02,-0.13,0.16,-0.15,-0.15,0.00,,,,,,,,,,,
8. CSR strengths,0.33,1.16,0.05,0.03,-0.08,0.10,0.33,0.19,-0.32,,,,,,,,,,
9. CSR concerns,0.42,0.94,0.00,0.12,-0.28,0.16,0.24,0.06,-0.49,0.49,,,,,,,,,
10. Firm recent performance,-22.85,250.88,-0.01,-0.04,0.00,-0.03,0.05,0.00,-0.08,0.03,0.04,,,,,,,,
11. Price - to - earnings ratio,20.71,83.94,-0.04,-0.02,-0.17,0.05,0.01,-0.01,-0.10,0.01,0.13,0.02,,,,,,,
12. Firm slack,2.35,27.91,-0.02,0.09,-0.13,0.02,-0.04,0.00,0.06,-0.02,-0.03,-0.30,-0.02,,,,,,
13. Firm liquidity,3.35,4.25,0.00,0.08,0.07,0.00,-0.07,-0.02,0.02,-0.05,-0.01,0.01,0.02,0.03,,,,,
14. Extraordinary items,-0.04,0.95,0.07,0.07,-0.04,0.12,0.02,0.00,0.00,0.01,0.02,0.00,0.01,0.00,-0.07,,,,
15. Prior financial restatements,0.72,1.19,0.05,0.30,-0.07,0.20,0.29,-0.03,-0.10,0.07,0.07,0.00,-0.05,0.07,-0.09,0.03,,,
16. Special announcement,0.13,0.34,-0.13,0.02,-0.06,0.02,0.10,-0.02,-0.06,0.03,0.09,0.02,0.03,0.02,-0.05,-0.02,0.02,,
17. Restated size,-4.26,37.87,0.02,0.00,0.14,-0.07,-0.23,0.01,0.02,-0.11,-0.07,-0.01,0.01,0.01,0.05,-0.12,-0.10,-0.04,
18. Auditor initiated,0.57,0.49,-0.02,0.20,-0.25,0.24,0.04,-0.06,-0.11,0.03,0.04,0.05,0.01,-0.01,-0.03,0.02,0.05,0.16,-0.04
19. SEC investigation,0.09,0.29,-0.05,-0.08,-0.01,-0.04,-0.02,-0.02,0.06,-0.02,0.02,0.01,0.04,0.01,-0.06,0.01,-0.07,0.13,0.00
20. Board approved,0.40,0.49,0.08,0.07,-0.28,0.25,0.05,-0.04,-0.07,0.02,0.06,0.04,0.05,-0.02,-0.06,0.01,0.07,0.25,-0.08
21. Firm diversification,10.08,7.16,-0.01,0.06,-0.18,0.24,0.31,0.11,-0.11,0.15,0.13,0.09,0.07,-0.07,-0.22,0.05,0.19,0.03,-0.11
22. Firm size,5.13,1.81,-0.02,0.14,-0.15,0.17,0.41,0.18,-0.26,0.35,0.37,0.12,0.10,-0.11,-0.10,0.02,0.19,0.07,-0.21
"23. Extremity of alliance
announcements",0.18,2.14,-0.10,0.02,-0.02,0.00,-0.01,-0.01,0.07,-0.01,-0.02,0.01,0.00,-0.01,-0.03,-0.02,0.01,0.04,0.02
"24. Frequency of alliance
announcements",0.18,0.34,-0.11,-0.16,-0.13,0.02,0.07,0.17,-0.02,0.23,0.17,0.03,0.00,-0.02,-0.09,-0.01,-0.10,0.05,-0.07
Variables,18,19,20,21,22,23,,,,,,,,,,,,,
19. SEC investigation,0.10,,,,,,,,,,,,,,,,,,
20. Board approved,0.61,0.16,,,,,,,,,,,,,,,,,
21. Firm diversification,0.00,-0.10,0.05,,,,,,,,,,,,,,,,
22. Firm size,-0.01,0.03,0.02,0.49,,,,,,,,,,,,,,,
23. Extremity of alliance,0.06,-0.01,0.09,-0.04,0.01,,,,,,,,,,,,,,
announcements,,,,,,,,,,,,,,,,,,,
"24. Frequency of alliance
announcements",-0.01,0.06,0.04,0.18,0.28,0.06,,,,,,,,,,,,,
