Variables,Mean,SD,1,2,3,4,5,6,7
1. Number of new RMS,3.59,2.68,,,,,,,
2. Stock market returns,-1.16,2.13,0.16,,,,,,
3. Stock market returns lag,-1.15,2.14,0.00,-0.07,,,,,
4. Available shellsa,5.53,0.91,-0.05,-0.01,-0.01,,,,
5. % of past small RMs,0.53,0.41,0.03,-0.01,-0.01,-0.12,,,
6. Investor sentiment,6.24,19.39,-0.04,0.08,0.07,-0.24,0.03,,
7. Buy recommendations,1.70,2.13,0.09,-0.07,-0.03,0.40,-0.03,-0.20,
8. Hold recommendations,0.62,1.13,0.06,-0.05,0.01,0.30,-0.03,-0.08,0.53
9. Sell recommendations,0.08,0.29,0.07,-0.05,-0.03,0.19,0.10,-0.03,0.29
10. Number of new IPOs,3.46,3.44,0.14,0.03,0.01,-0.26,0.01,0.22,-0.04
11. RM rules - July 2005,0.73,0.44,0.19,-0.05,-0.06,0.34,0.02,-0.40,0.44
12. SEC letter June 2011,0.15,0.36,-0.16,-0.09,-0.09,0.38,-0.10,-0.10,0.11
13. Neutral media coverage,0.30,0.61,-0.01,-0.03,-0.04,-0.09,0.01,-0.05,-0.02
14. Negative media coverage,0.22,0.59,-0.16,-0.12,-0.02,0.23,-0.04,-0.09,0.15
15. Number of past RMsª,6.31,1.33,0.25,-0.06,-0.07,0.42,0.07,-0.37,0.46
16. % of past lower - status RMS,0.25,0.09,0.12,-0.06,0.06,0.70,-0.01,-0.24,0.48
Variables,8,9,,10,11,12,13,14,15
9. Sell recommendations,0.26,,,,,,,,
10. Number of new IPOs,-0.06,-0.01,,,,,,,
11. RM rules July 2005,0.31,0.17,,-0.09,,,,,
12. SEC letter June 2011,0.13,0.09,,0.03,0.25,,,,
13. Neutral media coverage,-0.09,-0.04,,0.01,0.04,-0.08,,,
14. Negative media coverage,0.12,0.11,,0.00,0.17,0.34,0.05,,
15. Number of past RMsª,0.33,0.19,,-0.04,0.85,0.37,0.02,0.24,
16. % of past lower - status RMS,0.39,0.25,,-0.06,0.65,0.59,-0.06,0.34,0.85
