,Variable,1,2,3,4,5,6,7,8,9,10
1,Factual observation,1.00,,,,,,,,,
2,Upward - status symmetry,-.04,1.00,,,,,,,,
3,Downward - status asymmetry,.06,-.52,1.00,,,,,,,
4,Assortative matching ( superior follower ),-.02,.17,-.23,1.00,,,,,,
5,Assortative matching ( superior company ),.07,-.37,.74,-.41,1.00,,,,,
6,Follower IPO percentage,.01,.11,-.24,.06,-.29,1.00,,,,
7,Follower investment count,-.09,.37,-.71,.32,-.80,.20,1.00,,,
8,Follower fund count,-.07,.21,-.34,.13,-.36,-.01,.49,1.00,,
9,Follower age,-.08,.19,-.39,.12,-.41,.07,.54,.26,1.00,
10,Follower industry specialization,.00,-.11,.20,-.09,.24,-.06,-.30,-.15,-.17,1.00
11,Follower state specialization,-.01,-.12,.12,.00,.06,-.04,-.17,-.11,-.10,.11
12,Follower distance to company,-.03,.05,-.03,-.01,-.01,.03,.06,.02,.04,-.03
13,Industry overlap between lead and follower,-.02,-.14,-.21,.13,-.34,.11,.37,.18,.15,.03
14,State overlap between lead and follower,.01,-.14,-.14,.12,-.28,.12,.20,.08,.07,.01
15,Distance between lead and follower,-.03,.04,.04,-.08,.12,-.03,-.05,-.03,.01,-.01
16,Direct ties between lead and follower,.05,-.13,-.20,.25,-.39,.10,.35,.17,.17,-.06
17,Indirect ties between lead and follower,-.03,-.22,-.34,.24,-.65,.19,.63,.30,.32,-.14
18,Valuation trend,.00,.02,.00,-.20,.12,.12,-.07,-.06,-.05,-.02
19,Market heat,.00,.02,.02,-.01,.00,.18,-.14,-.09,-.10,-.03
,Variable,11,12,13,,14,15,16,17,18,19
11,Follower state specialization,1.00,,,,,,,,,
12,Follower distance to company,-.55,1.00,,,,,,,,
13,Industry overlap between lead and follower,.02,-.04,1.00,,,,,,,
14,State overlap between lead and follower,.49,-.28,.25,,1.00,,,,,
15,Distance between lead and follower,-.33,.50,-.11,,-.47,1.00,,,,
16,Direct ties between lead and follower,.08,-.08,.36,,.36,-.22,1.00,,,
17,Indirect ties between lead and follower,.03,-.03,.54,,.47,-.17,.57,1.00,,
18,Valuation trend,.02,-.01,-.04,,.00,-.03,-.02,-.09,1.00,
19,Market heat,-.02,.01,-.10,,-.04,-.02,-.05,-.15,.47,1.00
