Variables,M,SD,1,2,3,4,5,6,7,8,9,10
Employee monthly salary ( CNY ) ( T1 ) :,,,,,,,,,,,,
"1. < 3,000",0.02,0.12,-,,,,,,,,,
"2. 3,001-5,000",0.09,0.28,.04,-,,,,,,,,
"3. 5,001-8,000",0.16,0.37,-.06,-.14,-,,,,,,,
"4. 8,001-10,000",0.14,0.35,.05,-.12,.18 *,-,,,,,,
5. Employee age ( T1 ),32.14,6.21,-.10,-.11,.01,.00,-,,,,,
6. Employee gender ( T1 ),0.64,0.48,.01,.19 **,.10,-.10,.00,-,,,,
7. Organizational size ( T1 ),8.14,2.95,-.01,-.21 **,-.18 *,.02,-.16 *,-.10,-,,,
8. Organizational tenure ( 71 ),4.53,4.79,-.04,.08,.16 *,-.03,.59 **,.07,-.06,-,,
9. Informational justice ( T1 ),3.09,0.99,-.05,.16 *,-.08,-.18 *,-.13,.07,-.03,-.20 **,( .91 ),
10. Procedural justice ( T1 ),3.01,0.81,-.07,-.03,-.01,-.18 *,-.09,-.03,.03,-.14,.66 **,( .86 )
11. Pay secrecy perceptions ( T1 ),3.50,0.99,.20 **,-.16 *,-.09,-.03,-.09,-.02,.11,-.10,-.22 **,-.15 *
12. Organizational trust ( T1 ),3.18,0.62,.01,.01,.01,.02,.05,.04,-.08,.00,.39 **,.40 **
13. Organizational trust ( T2 ),3.10,0.64,.00,-.07,-.02,-.03,.04,-.08,.08,-.13,.35 **,.39 **
14. Distributive justice ( T1 ),3.17,1.03,-.20 **,-.08,-.13,-.01,-.11,.00,.05,-.13,.39 **,.46 **
15. Turnover intentions ( T1 ),2.78,1.01,.12,.03,.07,.01,.07,.02,-.04,.00,-.43 **,-.50 **
16. Turnover intentions ( T2 ),2.79,0.97,.07,.04,.02,.10,-.08,.03,-.05,-.01,-.31 **,-.35 **
Variables,,11,,12,,13,,14,,15,,16
