,,,,,Dependent Variable,CVC investment,,,,
,10 -,year,5 - year,3 - year,1 - year,10 -,year,5 - year,3 - year,1 - year
Variables,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
Main effect,,,,,,,,,,
Spinout,-0.02,,,,,-0.02,,,,
,( 0.07 ),,,,,( 0.07 ),,,,
Spinout with high TOSP,,-0.43 ***,-0.36 ***,-0.52 ***,-0.46 ***,,-0.44 ***,-0.37 ***,-0.52 ***,-0.46 ***
,,( 0.12 ),( 0.13 ),( 0.14 ),( 0.15 ),,( 0.13 ),( 0.14 ),( 0.15 ),( 0.15 )
Spinout with low TOSP,,0.14 *,0.16 **,0.10,0.08,,0.14 *,0.15 *,0.10,0.07
,,( 0.07 ),( 0.08 ),( 0.08 ),( 0.10 ),,( 0.07 ),( 0.08 ),( 0.08 ),( 0.10 )
Control variables,,,,,,,,,,
Venture patent count,0.18 ***,0.18 ***,0.18 ***,0.18 ***,0.18 ***,0.19 ***,0.19 ***,0.19 ***,0.20 ***,0.20 ***
,( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 )
Venture age,0.02 *,0.02 **,0.02 *,0.02 **,0.02 **,0.02 *,0.02 **,0.02 *,0.02 **,0.02 **
,( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 )
Founder PhD or MD,-0.02,-0.03,-0.03,-0.03,-0.03,-0.01,-0.03,-0.02,-0.02,-0.02
,( 0.07 ),( 0.06 ),( 0.06 ),( 0.06 ),( 0.06 ),( 0.07 ),( 0.07 ),( 0.07 ),( 0.07 ),( 0.06 )
Number of founders,-0.02,-0.00,-0.01,-0.00,-0.01,-0.02,-0.00,-0.01,-0.00,-0.01
,( 0.05 ),( 0.05 ),( 0.05 ),( 0.05 ),( 0.05 ),( 0.05 ),( 0.05 ),( 0.05 ),( 0.05 ),( 0.05 )
Manufacturing resource need,0.09,0.32,0.19,0.13,0.11,0.26,0.49,0.34,0.29,0.27
,( 0.88 ),( 0.90 ),( 0.89 ),( 0.89 ),( 0.89 ),( 0.93 ),( 0.94 ),( 0.94 ),( 0.94 ),( 0.94 )
Marketing resource need,2.81,2.02,2.45,2.44,2.66,2.56,1.81,2.25,2.23,2.45
,( 5.35 ),( 5.44 ),( 5.31 ),( 5.31 ),( 5.39 ),( 5.48 ),( 5.56 ),( 5.44 ),( 5.44 ),( 5.51 )
Corporate investor patent count,-0.00,-0.00,-0.00,-0.00,-0.00,-0.03,-0.03,-0.04,-0.03,-0.03
,( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 ),( 0.09 ),( 0.09 ),( 0.09 ),( 0.09 ),( 0.09 )
Corporate investor new product,0.08 ***,0.08 ***,0.08 ***,0.08 ***,0.08 ***,0.11 *,0.12 *,0.12 *,0.12 *,0.12 *
,( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 ),( 0.02 ),( 0.07 ),( 0.07 ),( 0.07 ),( 0.07 ),( 0.07 )
