,,,10 -,year,,,5 - year,3 - year,1 - year
Variables,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9
Corporate investor new product,0.07 **,0.05,0.05,0.05,0.05,0.05,0.04,0.02,0.02
,( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.04 ),( 0.04 )
Corporate investor R & D intensity,0.48,0.27,0.27,0.29,0.27,0.29,0.37,0.10,0.07
,( 0.38 ),( 0.42 ),( 0.41 ),( 0.41 ),( 0.42 ),( 0.41 ),( 0.45 ),( 0.51 ),( 0.53 )
Corporate investor patent,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
infringement,( 0.00 ),( 0.00 ),( 0.00 ),( 0.00 ),( 0.00 ),( 0.00 ),( 0.01 ),( 0.01 ),( 0.01 )
Corporate investor size,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.12 *,0.16 **
,( 0.06 ),( 0.06 ),( 0.06 ),( 0.06 ),( 0.06 ),( 0.06 ),( 0.07 ),( 0.07 ),( 0.07 )
Corporate investor cash,0.02,0.03,0.03,0.03,0.03,0.03,0.04,-0.02,-0.05
,( 0.06 ),( 0.06 ),( 0.06 ),( 0.06 ),( 0.06 ),( 0.06 ),( 0.07 ),( 0.07 ),( 0.09 )
Corporate investor financial,-0.25,-0.28,-0.27,-0.27,-0.27,-0.26,-0.28,-0.17,-0.19
orientation,( 0.27 ),( 0.26 ),( 0.25 ),( 0.26 ),( 0.26 ),( 0.26 ),( 0.28 ),( 0.33 ),( 0.38 )
Corporate investor strategic,3.44 ***,3.10 ***,3.09 ***,3.08 ***,3.12 ***,3.06 ***,3.03 **,5.03 ***,3.14 **
orientation,( 1.08 ),( 1.11 ),( 1.12 ),( 1.14 ),( 1.12 ),( 1.16 ),( 1.29 ),( 1.28 ),( 1.41 )
Technological overlap between,0.60 ***,0.62 ***,0.63 ***,0.51 **,0.62 ***,0.52 **,0.51 **,0.59 **,0.55 **
spinout and corporate investor,( 0.20 ),( 0.21 ),( 0.21 ),( 0.23 ),( 0.21 ),( 0.24 ),( 0.25 ),( 0.24 ),( 0.28 )
Cross - citations between,1.80 *,1.28,1.29,1.40,1.33,1.50,0.68,1.20,2.28
and corporate investor,( 1.00 ),( 1.15 ),( 1.15 ),( 1.14 ),( 1.15 ),( 1.13 ),( 1.49 ),( 1.61 ),( 1.60 )
Geographic distance between,-0.04,-0.03,-0.03,-0.03,-0.03,-0.03,-0.04,-0.02,0.01
spinout and corporate investor,( 0.03 ),( 0.03 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.05 ),( 0.06 )
Parent firm patent count,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.08,0.06
,( 0.03 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.04 ),( 0.05 ),( 0.06 )
Alliance between parent firm and,-0.63 *,-0.68 *,-0.69 *,-0.64 *,-0.69 **,-0.68 **,-,-,-
corporate investor,( 0.34 ),( 0.35 ),( 0.35 ),( 0.35 ),( 0.34 ),( 0.34 ),,,
Industry segment fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Year fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Constant,-2.84 ***,-3.26 ***,-3.35 ***,-3.41 ***,-3.25 ***,-3.45 ***,-2.73 ***,-3.52 ***,-3.97 ***
,( 1.02 ),( 1.05 ),( 1.06 ),( 1.04 ),( 1.07 ),( 1.05 ),( 1.04 ),( 1.32 ),( 1.28 )
Log pseudolikelihood,-594.80,-573.83,-571.38,-569.01,-570.47,-563.02,-458.68,-359.87,-291.47
Wald x²,622.59 ***,636.85 ***,829.75 ***,660.87 ***,631.04 ***,783.00 ***,1018.16 ***,983.52 ***,1168.97 ***
Observations,"69,815","69,815","69,815","69,815","69,815","69,815","52,290","45,659","35,755"
