,,,Dependent variable,: CVC investment,,
,Based on news,articles,Based on,SIC code,Based on,product class
Variables,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6
Main effect,,,,,,
Competition between spinout and parent firm,"-0.73 ***
( 0.14 )","-0.74 ***
( 0.15 )","-0.75 ***
( 0.29 )","-0.79 **
( 0.32 )","-0.64 **
( 0.28 )","-0.66 **
( 0.30 )"
Interaction effects,,,,,,
Competition between spinout and parent firm,-0.04 **,-0.05 **,-0.08 ***,-0.09 ***,-0.05 *,-0.05 *
X Parent firm litigiousness,( 0.02 ),( 0.02 ),( 0.03 ),( 0.03 ),( 0.03 ),( 0.03 )
Competition between spinout and parent firm,0.97 ***,1.03 ***,-0.13,-0.24,0.33,0.24
X TOCP,( 0.32 ),( 0.36 ),( 0.49 ),( 0.50 ),( 0.53 ),( 0.56 )
Competition between spinout and parent firm,0.06,0.06,0.33 **,0.38 **,0.07,0.07
X Parent firm new product,( 0.06 ),( 0.07 ),( 0.16 ),( 0.18 ),( 0.10 ),( 0.11 )
Moderating variables,,,,,,
Parent firm litigiousness,-0.00,-0.00,-0.00,-0.00,0.01,0.01
,( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 ),( 0.01 )
TOCP,0.19,-0.16,0.58 ***,0.36 *,0.71 ***,0.50 *
,( 0.23 ),( 0.28 ),( 0.16 ),( 0.20 ),( 0.26 ),( 0.29 )
Parent firm new product,-0.02,-0.01,-0.07 *,-0.07,-0.06,-0.05
,( 0.05 ),( 0.06 ),( 0.04 ),( 0.04 ),( 0.06 ),( 0.06 )
Control variables,Included,Included,Included,Included,Included,Included
Industry segment fixed effects,Yes,Yes,Yes,Yes,Yes,Yes
Year fixed effects,Yes,Yes,Yes,Yes,Yes,Yes
Corporate investor fixed effects,No,Yes,No,Yes,No,Yes
Constant,-2.99 ***,-4.60 **,-3.09 ***,-4.77 **,-4.69 ***,-3.60
,( 1.05 ),( 1.94 ),( 1.07 ),( 1.94 ),( 1.40 ),( 4.42 )
Log pseudolikelihood,-563.65,-495.72,-569.55,-497.43,-283.86,-248.72
Wald x²,964.57 ***,956.25 ***,893.11 ***,773.00 ***,877.24 ***,653.63 ***
Observations,"69,815","30,492","69,815","30,492","44,669","12,392"
