,"Voice at
Time 1","Voice at
Time 2","Voice at
Time 3",Linear slope of voice,Quadratic Slope of Voice
Variables,Model 1,Model 2,Model 3,Model 4,Model 5
Constant,2.10 **,1.97 **,3.00 **,0.30 **,-0.03
Task routinization,0.04,0.11 **,0.01,0.01,-0.01
Work experience,0.06 *,0.13 **,0.11 **,0.03 *,0.00
Employee conscientiousness ( EC ),0.02,-0.02,-0.02,-0.02,0.00
Supervisor conscientiousness ( SC ),-0.05,-0.04,0.06,0.02,0.01
EC²,0.02,-0.01,0.01,-0.01,0.00
EC X SC,-0.04,-0.02,-0.05,-0.01,0.00
SC²,0.01,-0.02,-0.07,-0.02,-0.01
LMX T1,0.38 **,,,,
LMX T2,,0.34 **,,,
LMX T3,,,0.28 **,,
Linear slope of LMX,,,,0.13 **,
Quadratic slope of LMX,,,,,0.08 **
Employee proactive personality ( E ),0.22 **,0.28 **,0.49 **,0.09 **,0.01 *
Supervisor proactive personality ( S ),-0.04,0.23 **,0.37 **,0.13 **,0.01 *
E²,0.00,-0.06,-0.10 *,-0.04 **,0.00
EXS,-0.11 *,0.07,0.27 **,0.10 **,0.02 **
S²,0.04,0.01,-0.01,-0.01,0.00
Change goal congruence,,,,,
Congruence ( E = S ) line,,,,,
Slope,0.18 **,0.51 **,0.86 **,0.22 **,0.02 **
Curvature,-0.08,0.02,0.16 **,0.05 **,0.02 **
Incongruence ( E = -S ) line,,,,,
Slope,-0.26 **,-0.05,-0.12,0.04,0.00
Curvature,0.15 *,-0.12,-0.38 **,-0.15 **,-0.02 **
F for the three quadratic terms,2.47,2.24,7.96 **,14.51 **,4.14 **
