,,Employee,Asset,Combination,Employee,Asset,Combination
,Total,Downsizers,Downsizers,Downsizers,Upsizers,Upsizers,Upsizers
Variable,,,,,,,
Sample,"57,226","7,229","5,477","4,603","4,146","4,386","4,404"
Employees,16.68,20.14,21.12,15.96,16.63,21.73,16.9
,[ 57.99 ],[ 79.94 ],[ 81.29 ],[ 75.22 ],[ 57.45 ],[ 63.04 ],[ 63.17 ]
Total Assets,"5,692","7,152.60","6,866.80","4,899.50","4,780.30","7,741.70","4,194.40"
,"[ 20,210 ]","[ 23,540 ]","[ 23,677 ]","[ 18,968 ]","[ 16,368 ]","[ 26,478 ]","[ 15,181 ]"
Leverage,0.18,0.19,0.19,0.19,0.16,0.16,0.16
,[ 0.26 ],[ 0.17 ],[ 0.18 ],[ 0.29 ],[ 0.17 ],[ 0.16 ],[ 0.16 ]
ROA ( 10 ),1.03 %,3.51,-1.09,-6.76,3.81,7.05,5.88
,[ 19.50 ],[ 13.05 ],[ 25.86 ],[ 27.43 ],[ 11.12 ],[ 21.29 ],[ 12.49 ]
ROA ( t - 1 ),-,2.77,-0.3,-5.46,3.69,5.14,5.6
,,[ 13.14 ],[ 16.55 ],[ 20.30 ],[ 12.44 ],[ 13.72 ],[ 13.12 ]
ROA ( t - 2 ),-,2.76,-1.38,-5.55,0.8,2.24,3.37
,,[ 19.08 ],[ 28.62 ],[ 32.57 ],[ 15.96 ],[ 25.63 ],[ 25.21 ]
IAROA ( 10 ),0.89 %,2.13,-0.86,-8.13,3.81,5.96,5.55
,[ 16.84 ],[ 10.13 ],[ 18.35 ],[ 23.77 ],[ 11.02 ],[ 11.22 ],[ 11.50 ]
IAROA ( t - 1 ),-,1.15,-0.1,-4.16,3.67,4.76,5.13
,,[ 12.10 ],[ 15.45 ],[ 18.74 ],[ 11.47 ],[ 12.66 ],[ 12.39 ]
IAROA ( 1-2 ),-,1.28,1.04,-1.76,3.26,3.95,4.3
,,[ 12.02 ],[ 15.32 ],[ 17.02 ],[ 11.68 ],[ 12.41 ],[ 12.70 ]
IARTN ( 10 ),1.11,-2.03,-4.85,-10.3,0.51,5.38,7.42
,[ 59.19 ],[ 50.07 ],[ 52.65 ],[ 59.37 ],[ 50.33 ],[ 54.98 ],[ 61.49 ]
IARTN ( t,-,-4.96,-5.22,-14.63,0.58,5.54,13.33
,,[ 50.37 ],[ 52.57 ],[ 54.99 ],[ 52.52 ],[ 57.55 ],[ 63.55 ]
IARTN ( t - 2 ),,-4.93,-5.19,- 14.5,0.42,5.23,12.87
,,[ 50.02 ],[ 52.19 ],[ 54.67 ],[ 52.01 ],[ 56.14 ],[ 65.32 ]
