,,Deployed Mountain,HCRs as,Outcome,,Deployed Sprint,HCRs as Outcome,
Predictor,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8
Intercept,-.00 ( .17 ),-.00 ( .12 ),-.01 ( .11 ),-.01 ( .11 ),.00 ( .14 ),.00 ( .08 ),-.00 ( .06 ),-.00 ( .06 )
Linear,.04 ( 11 ),.04 ( .11 ),.05 ( .10 ),.05 ( .10 ),-.02 ( .08 ),-.02 ( .08 ),-.06 ( .07 ),-.06 ( .07 )
Team HCR,Stocks,,,,,,,
Salary,-,.00 ( .08 ),.00 ( .08 ),.00 ( .08 ),-,-.08 ( .05 ),-.08 ( .05 ),-.08 ( .05 )
General,-,-.35 ( .15 ) *,-.35 ( .15 ) *,-.35 ( .15 ) *,-,.04 ( .09 ),.04 ( .09 ),.04 ( .09 )
Mountain,-,.70 ( .13 ) ***,.70 ( .13 ) ***,.69 ( .13 ) ***,-,.02 ( .08 ),.02 ( .08 ),.02 ( .07 )
Sprint,-,.08 ( .10 ),.08 ( .10 ),.08 ( .10 ),-,.46 ( .06 ) ** ***,.46 ( .06 ) **,.46 ( .06 ) ***
Race Characteristics,,,,,,,,
General,-,-,.13 ( 31 ),.13 ( .31 ),|,-,.17 ( 21 ),.17 ( 21 )
Mountain,-,-,.20 ( 21 ),.20 ( 21 ),|,-,-.14 ( .14 ),-.14 ( 14 )
Sprint,-,-,-.11 ( 32 ),-.11 ( .32 ),|,-,.20 ( 21 ),.20 ( .21 )
Team HCR,Stocks by Race,Characteristics,,,,,,
General,-,-,-,.06 ( .06 ),-,-,-,.03 ( .07 )
Mountain,-,-,-,.10 ( .05 ) *,-,-,-,-.04 ( .06 )
Sprint,-,-,-,-.02 ( .04 ),-,-,-,.15 ( .05 ) **
~ R² ( % ),0.14,22.22,26.97,28.73,lò 0.04,21.84,27.95,30.26
~ AR² ( % ),0.14,22.08 ***,4.75,1.76 ***,0.04,21.80 ***,6.11 **,2.31 **
