,Deployed,Mountain HCR,Performance as Outcome,( n = 204 ),Deployed,Sprint HCR,Performance as Outcome,( n = 187 )
Predictors,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8
Intercept,30.03 ( 7.00 ) ***,27.52 ( 5.74 ) ** ***,24.53 ( 5.71 ) ***,25.51 ( 6.09 ) ** :,*** 76.03 ( 19.54 ) **,71.17 ( 9.68 ) **,*** 62.26 ( 9.69 ) **,61.05 ( 10.20 ) ***
Linear,8.75 ( 6.52 ),-1.11 ( 2.90 ),-.38 ( 2.77 ),-.85 ( 2.69 ),30.86 ( 19.86 ),4.82 ( 4.82 ),5.50 ( 4.31 ),3.94 ( 3.99 )
Deployed HCRS,,,,,,,,
General,-,2.98 ( 3.83 ),-2.46 ( 3.99 ),-.40 ( 4.04 ),-,-.96 ( 6.28 ),6.72 ( 6.46 ),7.97 ( 5.30 )
Mountain,-,8.37 ( 3.20 ) **,9.11 ( 3.07 ) **,8.61 ( 3.12 ) **,-,.21 ( 5.20 ),-.11 ( 4.66 ),.42 ( 4.53 )
Sprint,-,-5.42 ( 3.21 ),-3.59 ( 3.11 ),-3.02 ( 3.42 ),-,19.03 ( 5.19 ) ***,14.31 ( 4.69 ) **,9.26 ( 5.26 )
STTE,-,-1.29 ( 2.93 ),.20 ( 2.82 ),.95 ( 5.07 ),,3.83 ( 4.83 ),4.40 ( 4.35 ),-24.38 ( 8.92 ) **
Race Characteristics,,,,,,,,
General,-,-2.71 ( 7.57 ),1.76 ( 7.52 ),-1.66 ( 7.66 ),|,.97 ( 13.22 ),12.19 ( 12.83 ),11.18 ( 13.06 )
Mountain,-,22.46 ( 4.62 ) ***,23.00 ( 4.43 ) * ***,20.93 ( 4.39 ) ** :,|,-5.16 ( 9.73 ),-8.20 ( 9.00 ),-5.52 ( 8.56 )
Sprint,-,3.40 ( 8.69 ),-5.58 ( 9.14 ),-.30 ( 9.51 ),|,66.10 ( 16.33 ) ** ***,47.76 ( 17.78 ) * **,46.61 ( 19.22 ) *
Deployed HCRs,by Race,Characteristics,,,,,,
General,-,-,4.48 ( 2.43 ),-1.11 ( 4.05 ),-,-,-9.14 ( 4.11 ) *,-11.84 ( 86.24 )
Mountain,-,-,8.16 ( 2.69 ) **,4.51 ( 3.13 ),-,-,-5.57 ( 4.94 ),3.27 ( 5.56 )
Sprint,-,-,-6.28 ( 2.18 ) **,-2.70 ( 4.35 ),-,-,23.82 ( 3.54 ) **,10.22 ( 6.77 )
Deployed HCRs,by STTE,,,,,,,
General,-,|,-,-5.87 ( 3.59 ),|,-,-,2.75 ( 5.76 )
Mountain,-,|,-,2.93 ( 2.46 ),|,-,-,-6.71 ( 3.85 )
Sprint,-,|,-,3.92 ( 3.00 ),|,-,-,4.20 ( 4.52 )
Race Characteristics,by STTE,,,,,,,
General,-,|,-,-3.32 ( 7.08 ),-,|,-,44.60 ( 11.61 ) ***
Mountain,-,|,-,2.72 ( 4.67 ),-,|,-,-38.79 ( 8.39 ) ***
Sprint,-,|,-,4.08 ( 7.88 ),-,|,-,-14.80 ( 13.98 )
Deployed HCRs,by Race,Characteristics by STTE,,,,,,
General,-,-,-,3.22 ( 2.09 ),-,-,-,-.71 ( 3.25 )
Mountain,-,-,-,4.90 ( 2.03 ) *,-,-,-,-3.93 ( 3.51 )
Sprint,-,-,-,-4.72 ( 2.41 ),-,-,-,8.33 ( 3.84 ) *
~ R² ( % ),3.77,33.84,40.12,44.08,10.45,63.48,70.79,76.39
~ AR² ( % ),3.77,30.07 ***,6.28 ***,3.96 *,10.45,53.03 ***,7.31 ***,5.60 ***
